GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,140,2,15,1,35,2,13,0,6
parking-system,com.parkit.parkingsystem.service,ParkingService,35,187,4,7,13,57,4,9,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,2,63,2,6,0,21,2,12,0,10
parking-system,com.parkit.parkingsystem.model,Ticket,0,67,0,0,0,27,0,14,0,14
parking-system,com.parkit.parkingsystem.constants,Fare,0,3,0,0,0,1,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,2,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,22,36,4,0,5,11,2,3,0,3
parking-system,com.parkit.parkingsystem.dao,TicketDAO,37,238,3,7,14,58,3,9,0,7
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,15,96,2,2,5,26,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,15,45,3,3,6,20,3,6,0,6
